PID,Social Media Post,Normalized Claim,post
2610,"We condemn the hate crime at the Shri Bhagvad Gita Park in Brampton. We urge Canadian authorities & 
 @PeelPolice
  to investigate and take prompt action on the perpetrators 
 @MEAIndia
  @cgivancouver
  @IndiainToronto",We condemn the hate crime at the Shri Bhagvad Gita Park in Brampton. We urge Canadian authorities & @PeelPolice to investigate and take prompt action on the perpetrators @MEAIndia @cgivancouver @IndiainToronto,we condemn the hate crime at the shri bhagvad gita park inch brampton. we urge canadian authorities peelpolice to investigate and take prompt action on the perpetrators meaindia cgivancouver indiaintoronto
2611,"It's the flu nasal spray that's causing strep A
For those that needed a little extra help",2014 study shows that flu nasal spray causes strep A,it is the flu nasal spray that is causing strep a for those that needed a little extra help
2612,"The US doctors admit that HbA1C should be in between 7 to 8 and is normal, this means that if the sugar level is 250 then it is within normal. The mean value of PP and Fasting is 250 then you are no more diabetic",HbA1C between 7 to 8 is normal,"the us doctors admit that hba1c should be inch between 7 to 8 and is normal, this means that if the sugar level is 250 then it is within normal. the mean value of pp and fasting is 250 then you are no more diabetic"
2613,Aavin is Halal..?,Incredible…. Halal on cooking butter….,aavin is halal..?
2614,"""NEW: About 40-50% of CDC, FDA employees are refusing the COVID-19 vaccine according to Fauci, Marks.""
What?????",Dr. Anthony Fauci and Peter Marks said 40% to 50% of CDC and FDA employees are refusing the COVID-19 vaccine,"new about 4050 of cdc, fda employees are refusing the covid19 vaccine according to fauci, marks. what?????"
2615,This is what happens when you remove Allah from your morality!!!,The German national ethics council has called for incest between siblings to be legalised by the government.,this is what happens when you remove allah from your morality!!!
2616,"Coming soon to a theatre near you...all in alignment with the ""Great Reset"" by the psychopathic globalists. Straight out of their textbook for world domination promoting depopulation and eugenics. Get ready for ""Climate Emergency"" and ""Extinction Rebellion"" with more fear-mongering propaganda and lies based on the man-made climate change scam. Don't you dare question it though or you will be branded a ""Climate change denier"" and you shall be canceled for it.",The claim: Human-caused climate change is a hoax,coming soon to a theatre near you...all inch alignment with the great reset by the psychopathic globalists. straight out of their textbook for world domination promoting depopulation and eugenics. get ready for climate emergency and extinction rebellion with more fearmongering propaganda and lies based on the manmade climate change scam. do not you dare question it though or you will be branded a climate change denier and you shall be canceled for it.
2617,Uddhav Thackeray demolishes #KanganaRanaut,Uddhav Thackeray demolishes #KanganaRanaut 's office after bowing to his guru Hitler,uddhav thackeray demolishes kanganaranaut
2618,"Any vaccine that needs to be shipped and stored at -80 degrees isn't a vaccine. It's a transfection agent, kept alive so it can infect your cells and transfer genetic material. Don't let them fool you. This is genetic manipulation of humans on a massive scale. Shut it down.","Any vaccine that needs to be stored and shipped at -80 degrees isn’t a vaccine. It’s a transfection agent, kept alive so it can infect your cells and transfer genetic material.","any vaccine that needs to be shipped and stored at 80 degrees is not a vaccine. it is a transfection agent, kept alive so it can infect your cells and transfer genetic material. do not let them fool you. this is genetic manipulation of humans on a massive scale. shut it down."
2619,Bill Gates caught in corner and was proud that he created camera but what next,"This is real journalism! Journalists of India become ‘petticoat journalists’ in the Congress era and ‘knicker journalists’ in the BJP era! When does he do journalism, the time has come to ask?",bill gates caught inch corner and was proud that he created camera but what next
2620,The number of people who have died who are not in highly vulnerable groups who have died without a sufficiently serious comorbidity to appear on the death certificate is very small. It's a matter of hundreds and not thousands,"No more than 100,000 people have died of Covid in the UK.",the number of people who have died who are not inch highly vulnerable groups who have died without a sufficiently serious comorbidity to appear on the death certificate is very small. it is a matter of hundreds and not thousands
